type,gender,word,cn,forms,example
n,das,Wohnhaus,住宅,Pl. Wohnhäuser,Hier sieht man ein Wohnhaus; ein Einfamilienhaus; ein Doppelhaus und eine WG.
n,das,Einfamilienhaus,一户住宅,Pl. Einfamilienhäuser,Hier sieht man ein Wohnhaus; ein Einfamilienhaus; ein Doppelhaus und eine WG.
n,das,Reihenhaus,连排房屋,Pl. Reihenhäuser,Hier sieht man ein Wohnhaus; ein Einfamilienhaus; ein Doppelhaus und eine WG.
n,die,Wohngemeinschaft,集体住房、合住套房,Pl. Wohngemeinschaften,Hier sieht man ein Wohnhaus; ein Einfamilienhaus; ein Doppelhaus und eine WG.
n,das,Zimmer,房间,Pl. Zimmer,Die Zimmer sind Wohnzimmer; Schlafzimmer usw.
n,das,Wohnzimmer,起居室、客厅,Pl. Wohnzimmer,Die Zimmer sind Wohnzimmer; Schlafzimmer usw.
n,das,Schlafzimmer,卧室、寝室,Pl. Schlafzimmer,Die Zimmer sind Wohnzimmer; Schlafzimmer usw.
n,das,Bad,浴室,Pl. Bäder,Das Bad ist klein.
n,der,Balkon,阳台,Pl. Balkone,Der Balkon geht nach Süden.
n,der,Flur,走廊、过道,Pl. Flure,Die Katze sitzt im Flur.
n,die,Suche,寻找,Pl. Suchen,Der Informatiker sucht eine Wohnung.
n,der,Informatiker,电脑工程师,Pl. Informatiker,Der Informatiker sucht eine Wohnung.
n,die,Firma,公司,Pl. Firmen,Ich arbeite bei Firma Borsch.
prep,,seit,自……以来,,Seit Wochen sucht er eine Wohnung.
n,die,Anzeige,广告、告示,Pl. Anzeigen,Lesen Sie die Anzeigen?
n,der,Vermieter,出租者(男),Pl. Vermieter,Er ist Vermieter.
n,die,Vermieterin,出租者(女),Pl. Vermieterinnen,Er ist Vermieter.
adj,,dringend,迫切的,,Er möchte dringend eine Wohnung mieten.
v,,mieten,租用、租借、租赁,,Er möchte eine Wohnung mieten.
v,,besichtigen,参观,,Er besichtigt eine Mietwohnung.
adv,,weg,不在、离开,,Der Bus ist weg.
n,das,Problem,问题、困难,Pl. Probleme,Kein Problem!
adj,,richtig,正确的、对的,,Das ist richtig.
v,,zeigen,给……看,,Sie zeigt ihm die Wohnung.
v,,aus/ziehen,脱衣鞋; 搬出,,Der Sohn zieht aus dem Elternhaus aus.
adv,,nötig,必要的,,Er findet die Arbeit zwar nötig; macht sie aber nicht gleich.
adj,,renoviert,修缮过的、装修过的,,Das Wohnzimmer ist renoviert und sieht modern und hell aus.
adv,,ziemlich,颇、比较,,Er trinkt ziemlich viel.
adv,,zwar,虽然,,Das Essen ist zwar kalt; schmeckt aber gut.
adj,,modern,时髦的,,Die Möbel sehen modern aus.
adj,,hell,明亮的,,Die Wohnung ist ganz hell.
n,das,Fenster,窗户、窗子,Pl. Fenster,Die Fenster gehen alle nach Süden.
n,der,Süden,南部、南方、南面,,Die Fenster gehen alle nach Süden.
n,der,Internetanschluss,网络接口,Pl. Internetanschlüsse,In der Mietwohnung gibt es schon Internetanschlüsse.
prep,,hinter,在……后面; 到……后面去,,Das Kind steht hinter seiner Mutter.
n,der,Parkplatz,停车场,Pl. Parkplätze,Hinter dem Haus liegt ein Parkplatz.
adj,,hoch,高的,,Wie hoch ist die Miete?
n,die,Miete,租金,Pl. Mieten,Wie hoch ist die Miete?
